;;380.6771 s;;;142.4633 s;;;138.5619 s;;;109.1982 s;;;394.8132 s;;;93.6671 s;133.4111 s;105.2371 s;177.1936 s;390.8702 s;89.6806 s;;;
Brute X;Brute Y;time;Rand X;Rand Y;time;R_Breadth X;R_Breadth Y;time;D_Breadth X;D_Breadth Y;time;Ro_Breadth X;Ro_Breadth Y;time;Br_Breadth X;Br_Breadth Y;time;RoD_Breadth X;RoD_Breadth Y;time;rand time;double time;round time;breadth;ro_do
374;506;0.9573 s;374;506;0.0230 s;374;506;0.0110 s;374;506;0.0080 s;374;506;0.0100 s;374;506;0.0090 s;374;506;0.0090 s;0.0040 s;0.2671 s;0.1394 s;0.1535 s;0.0700 s
311;287;0.5734 s;311;287;0.0160 s;311;287;0.0160 s;311;287;0.0100 s;311;287;0.0110 s;311;287;0.0090 s;311;287;0.0110 s;0.0030 s;0.1510 s;0.0590 s;0.1940 s;0.0320 s
312;433;0.8270 s;312;433;0.0305 s;312;433;0.0135 s;312;433;0.0110 s;312;433;0.0100 s;312;433;0.0100 s;312;433;0.0100 s;0.0170 s;0.2260 s;0.0250 s;0.0980 s;0.0120 s
227;233;0.4209 s;227;233;0.0270 s;227;233;0.0080 s;227;233;0.0070 s;227;233;0.0050 s;227;233;0.0060 s;227;233;0.0061 s;0.0110 s;0.1380 s;0.2375 s;0.9590 s;0.1095 s
520;598;1.1320 s;520;598;0.0210 s;520;598;0.0050 s;520;598;0.0040 s;520;598;0.0040 s;520;598;0.0040 s;520;598;0.0040 s;0.0210 s;0.3260 s;0.5040 s;1.5350 s;0.2470 s
546;312;0.5927 s;546;312;0.0240 s;546;312;0.0090 s;546;312;0.0070 s;546;312;0.0070 s;546;312;0.0070 s;546;312;0.0080 s;0.0060 s;0.1549 s;0.2650 s;0.5531 s;0.1520 s
349;541;1.0050 s;349;541;0.0250 s;349;541;0.0100 s;349;541;0.0070 s;349;541;0.0075 s;349;541;0.0070 s;349;541;0.0073 s;0.0030 s;0.2830 s;0.2470 s;0.3475 s;0.1251 s
432;461;0.8658 s;432;461;0.0180 s;432;461;0.0130 s;432;461;0.0120 s;432;461;0.0110 s;432;461;0.0100 s;432;461;0.0090 s;0.0030 s;0.2455 s;0.0460 s;0.1586 s;0.0248 s
0;0;1.4962 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.6992 s;0.4141 s;1.6308 s;3.7381 s;0.8376 s
443;4;0.0100 s;443;4;0.0010 s;443;4;0.0010 s;443;4;0.0010 s;443;4;0.0010 s;443;4;0.0010 s;443;4;0.0000 s;0.0501 s;0.0010 s;1.6160 s;2.3114 s;0.7926 s
407;389;0.7344 s;407;389;0.0160 s;407;389;0.0165 s;407;389;0.0135 s;407;389;0.0130 s;407;389;0.0130 s;407;389;0.0125 s;0.0020 s;0.1960 s;0.0000 s;0.0010 s;0.0000 s
0;0;1.4255 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.5824 s;0.4316 s;1.6525 s;3.8386 s;0.8853 s
