;;380.2414 s;;;9.0735 s;;;4.4095 s;358.7403 s;95.5363 s;106.2883 s;176.9613 s;376.4479 s;89.2441 s
Brute X;Brute Y;time;Quad X;Quad Y;time;Breadth X;Breadth Y;time;Brute;Rand;Double;Round;Breadth;Round&Double
0;0;1.0111 s;286;554;0.0250 s;286;554;0.0070 s;0.9864 s;0.0120 s;0.2911 s;0.2930 s;0.7382 s;0.1491 s
0;0;1.3822 s;0;0;0.0000 s;0;0;0.0000 s;1.3687 s;1.5923 s;0.4090 s;1.6082 s;3.4996 s;0.8161 s
0;0;0.8122 s;343;444;0.0236 s;343;444;0.0120 s;0.7677 s;0.0080 s;0.2274 s;0.0211 s;0.0536 s;0.0110 s
0;0;0.6136 s;409;332;0.0281 s;409;332;0.0131 s;0.5621 s;0.0682 s;0.1662 s;0.0060 s;0.0220 s;0.0030 s
0;0;0.7186 s;389;385;0.0200 s;389;385;0.0150 s;0.6532 s;0.0285 s;0.1916 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.4525 s;305;247;0.0130 s;305;247;0.0090 s;0.4156 s;0.1030 s;0.1225 s;0.1420 s;0.3640 s;0.0700 s
0;0;0.0588 s;358;32;0.0110 s;358;32;0.0020 s;0.0470 s;0.0395 s;0.0150 s;1.3064 s;1.4837 s;0.6756 s
0;0;0.8131 s;382;441;0.0270 s;382;441;0.0136 s;0.7582 s;0.0290 s;0.2236 s;0.0191 s;0.0210 s;0.0100 s
0;0;0.8272 s;407;435;0.0280 s;407;435;0.0120 s;0.7614 s;0.0166 s;0.2256 s;0.0130 s;0.0380 s;0.0080 s
0;0;0.4830 s;501;253;0.0220 s;501;253;0.0080 s;0.4260 s;0.0040 s;0.1264 s;0.1421 s;0.6117 s;0.0750 s
0;0;0.8910 s;370;486;0.0240 s;370;486;0.0121 s;0.8487 s;0.0040 s;0.2505 s;0.0870 s;0.0976 s;0.0462 s
0;0;0.6957 s;379;373;0.0161 s;379;373;0.0150 s;0.6282 s;0.0080 s;0.1849 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.6150 s;391;333;0.0180 s;391;333;0.0131 s;0.5801 s;0.0730 s;0.1670 s;0.0050 s;0.0050 s;0.0020 s
0;0;0.6808 s;405;366;0.0200 s;405;366;0.0141 s;0.6173 s;0.0370 s;0.1824 s;0.0010 s;0.0000 s;0.0000 s
0;0;0.7725 s;375;423;0.0180 s;375;423;0.0131 s;0.7196 s;0.0120 s;0.2161 s;0.0050 s;0.0060 s;0.0030 s
0;0;0.6971 s;377;375;0.0295 s;377;375;0.0150 s;0.6391 s;0.0110 s;0.1895 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.7184 s;472;379;0.0186 s;472;379;0.0120 s;0.6407 s;0.0020 s;0.1910 s;0.0600 s;0.0620 s;0.0310 s
0;0;0.6005 s;104;337;0.0260 s;104;337;0.0040 s;0.6024 s;0.0020 s;0.1774 s;0.8023 s;1.0429 s;0.4037 s
0;0;0.6949 s;563;361;0.0169 s;563;361;0.0075 s;0.6212 s;0.0060 s;0.1814 s;0.3305 s;0.3720 s;0.1740 s
0;0;0.6906 s;373;374;0.0120 s;373;374;0.0150 s;0.6347 s;0.0820 s;0.1852 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.6826 s;273;373;0.0200 s;273;373;0.0106 s;0.6308 s;0.0225 s;0.1870 s;0.0790 s;0.0780 s;0.0380 s
